company,price,change
Microsoft Corporation (MSFT),352.80,(+1.29%)
International Business Machines Corporation (IBM),147.90,(+0.61%)
General Electric Company (GE),108.92,(+1.06%)
Union Pacific Corporation (UNP),212.13,(+0.35%)
Costco Wholesale Corporation (COST),560.90,(+0.89%)
McDonald's Corporation (MCD),267.87,(+0.38%)
Visa Inc. (V),243.60,(+0.14%)
Walmart Inc. (WMT),164.66,(-0.52%)
The Walt Disney Company (DIS),85.07,(+2.14%)
3M Company (MMM),93.86,(+1.68%)
Intel Corporation (INTC),38.14,(+1.17%)
American Express Company (AXP),152.76,(+1.27%)
Apple Inc. (AAPL),176.65,(-0.52%)
The Boeing Company (BA),195.05,(+1.58%)
"Cisco Systems, Inc. (CSCO)",53.01,(+0.49%)
"The Goldman Sachs Group, Inc. (GS)",327.62,(+4.42%)
JPMorgan Chase & Co. (JPM),143.00,(+1.12%)
"Salesforce, Inc. (CRM)",207.47,(-0.31%)
Verizon Communications Inc. (VZ),36.02,(+0.33%)
